"filename", "language", "Python", "XML", "Markdown", "comment", "blank", "total"
"/Users/rainchen/CodingSpace/ato/.idea/ato.iml", "XML", 0, 10, 0, 0, 0, 10
"/Users/rainchen/CodingSpace/ato/.idea/inspectionProfiles/profiles_settings.xml", "XML", 0, 6, 0, 0, 0, 6
"/Users/rainchen/CodingSpace/ato/.idea/misc.xml", "XML", 0, 4, 0, 0, 0, 4
"/Users/rainchen/CodingSpace/ato/.idea/modules.xml", "XML", 0, 8, 0, 0, 0, 8
"/Users/rainchen/CodingSpace/ato/.idea/other.xml", "XML", 0, 6, 0, 0, 0, 6
"/Users/rainchen/CodingSpace/ato/.idea/vcs.xml", "XML", 0, 6, 0, 0, 0, 6
"/Users/rainchen/CodingSpace/ato/README.md", "Markdown", 0, 0, 13, 0, 12, 25
"/Users/rainchen/CodingSpace/ato/main.py", "Python", 17, 0, 0, 7, 3, 27
"/Users/rainchen/CodingSpace/ato/src/basic.py", "Python", 11, 0, 0, 2, 3, 16
"/Users/rainchen/CodingSpace/ato/src/function.py", "Python", 44, 0, 0, 13, 5, 62
"Total", "-", 72, 40, 13, 22, 23, 170